Title,Original Price,Current Price
"Siļķu fileja mazsālīta eļļā ar garšvielām OCEAN, 220 g",N/A,0.99
"Sviesta kruasāns MANTINGA, 48 g",N/A,0.39
"Bagete Franču ar ķiploku sviestu, 160 g",N/A,0.74
"Formas maize MANA MAIZE, 600 g",N/A,0.79
"Saldskābā maize MANA MAIZE, 800 g",N/A,0.99
"Rudzu maize MANA MAIZE, 800 g",N/A,0.99
"Karsti kūpināta cūkgaļas krūtiņa PORMET, fas.",N/A,7.99
"Cepts viltotais zaķis PORMET, 500 g",N/A,1.79
"Vītināta desa PORMET, 200 g",N/A,1.99
"Vistas gaļas hamburgeri PORMET, 250 g",N/A,0.81
"Cāļu aknu pastēte, 300 g, vārīta",N/A,0.89
"Tuncis smalcināts savā sulā OCEAN, 185 g",N/A,0.87
"Krabju garšas nūjiņas OCEAN, 300 g, atdzesētas",N/A,2.19
"Siļķu fileja ar dūmu garšu eļļā OCEAN, 220 g",N/A,0.99
"Siļķu fileja eļļā Tradicionālā OCEAN, 220 g",N/A,0.99
"Siļķu fileja mazsālīta eļļā ar garšvielām OCEAN, 220 g",N/A,0.99
"Sviesta kruasāns MANTINGA, 48 g",N/A,0.39
"Bagete Franču ar ķiploku sviestu, 160 g",N/A,0.74
"Formas maize MANA MAIZE, 600 g",N/A,0.79
"Saldskābā maize MANA MAIZE, 800 g",N/A,0.99
"Rudzu maize MANA MAIZE, 800 g",N/A,0.99
"Auzu pārslas EXTRA LINE, 400 g",N/A,0.69
"Zemeņu džems EXTRA LINE, 330 g",N/A,1.24
"Dažādu ogu džems EXTRA LINE, 330 g",N/A,1.58
"Miežu putraimi EXTRA LINE, 400 g",N/A,0.68
"3 graudu pārslas EXTRA LINE, 400 g",N/A,0.69
"Makaroni EXTRA LINE Fusilli, 400 g",N/A,0.50
"Rīsi EXTRA LINE tvaicēti, 800 g",N/A,1.30
"Sausās brokastis kakao bumbiņas MIO&RIO, 250 g",N/A,0.79
"Sausās brokastis kakao gliemežvāki MIO&RIO, 250 g",N/A,0.79
"Makaroni EXTRA LINE Cornetti Rigatil, 400 g",N/A,0.50
"Makaroni EXTRA LINE Spaghetti, 400 g",N/A,0.50
"Saulespuķu eļļa EXTRA LINE, 1 l",N/A,1.99
"Konservēta kukurūza EXTRA LINE, 400 g",N/A,1.16
"Konservētas sarkanās pupiņas EXTRA LINE, 400 g",N/A,0.94
"Konservētas baltās pupiņas EXTRA LINE, 400 g",N/A,0.69
"Auzu pārslas EXTRA LINE, 400 g",N/A,0.69
"Zemeņu džems EXTRA LINE, 330 g",N/A,1.24
"Dažādu ogu džems EXTRA LINE, 330 g",N/A,1.58
"Miežu putraimi EXTRA LINE, 400 g",N/A,0.68
"3 graudu pārslas EXTRA LINE, 400 g",N/A,0.69
"Makaroni EXTRA LINE Fusilli, 400 g",N/A,0.50
"Rīsi EXTRA LINE tvaicēti, 800 g",N/A,1.30
"Sausās brokastis kakao bumbiņas MIO&RIO, 250 g",N/A,0.79
"Sausās brokastis kakao gliemežvāki MIO&RIO, 250 g",N/A,0.79
"Makaroni EXTRA LINE Cornetti Rigatil, 400 g",N/A,0.50
"Makaroni EXTRA LINE Spaghetti, 400 g",N/A,0.50
"Saulespuķu eļļa EXTRA LINE, 1 l",N/A,1.99
"Konservēta kukurūza EXTRA LINE, 400 g",N/A,1.16
"Konservētas sarkanās pupiņas EXTRA LINE, 400 g",N/A,0.94
"Konservētas baltās pupiņas EXTRA LINE, 400 g",N/A,0.69
"Veļas mazgāšanas līdzeklis HELPER Sensitive Color, 2 l, 33 m.r.",N/A,2.33
"Trauku mazgāšanas līdzeklis HELPER Apple, 500 ml",N/A,1.19
"Veļas mazgāšanas kapsulas HELPER, 20 gab, whites+color",N/A,3.98
"Pārtikas etiķskābe EXTRA LINE 9%, 1 l",N/A,0.42
"Ceptas pupiņas tom.mērcē EXTRA LINE, 400g",N/A,0.69
"Skābētu gurķu zupa EXTRA LINE, 480g","1,69€",1.69
"Mārrutki rīvēti EXTRA LINE, 160 g",N/A,0.75
"Asā tomātu mērce EXTRA LINE, 500 g",N/A,1.39
"Klasiskā tomātu mērce EXTRA LINE, 500 g",N/A,1.39
"Zaļās olīvas bez kauliņ. EXTRA LINE, 180 g",N/A,0.55
"Klasiskais kečups EXTRA LINE, 480 g",N/A,1.28
"Pikantais kečups EXTRA LINE, 481 g",N/A,1.65
"Graudainās sinepes WELL DONE, 180 g",N/A,0.99
"Priecīgie lācīši MIO&RIO, 300 g",N/A,1.85
"Sula ābolu MIO&RIO, 1 l",N/A,1.09
"Veļas mazgāšanas līdzeklis HELPER Sensitive Color, 2 l, 33 m.r.",N/A,2.33
"Trauku mazgāšanas līdzeklis HELPER Apple, 500 ml",N/A,1.19
"Veļas mazgāšanas kapsulas HELPER, 20 gab, whites+color",N/A,3.98
"Pārtikas etiķskābe EXTRA LINE 9%, 1 l",N/A,0.42
"Ceptas pupiņas tom.mērcē EXTRA LINE, 400g",N/A,0.69
"Skābētu gurķu zupa EXTRA LINE, 480g","1,69€",1.69
"Mārrutki rīvēti EXTRA LINE, 160 g",N/A,0.75
"Asā tomātu mērce EXTRA LINE, 500 g",N/A,1.39
"Klasiskā tomātu mērce EXTRA LINE, 500 g",N/A,1.39
"Zaļās olīvas bez kauliņ. EXTRA LINE, 180 g",N/A,0.55
"Klasiskais kečups EXTRA LINE, 480 g",N/A,1.28
"Pikantais kečups EXTRA LINE, 481 g",N/A,1.65
"Graudainās sinepes WELL DONE, 180 g",N/A,0.99
"Priecīgie lācīši MIO&RIO, 300 g",N/A,1.85
"Sula ābolu MIO&RIO, 1 l",N/A,1.09
"Tunzivs smalcināts eļļā OCEAN, 185g",N/A,0.87
Šķidrās ziepes DIVUS Almond rezerve 1L,N/A,1.59
Šķidrās ziepes DIVUS Aloe Vera rezerv.1L,N/A,1.59
"Tunzivs smalcināts eļļā OCEAN, 185g",N/A,0.87
Šķidrās ziepes DIVUS Almond rezerve 1L,N/A,1.59
Šķidrās ziepes DIVUS Aloe Vera rezerv.1L,N/A,1.59
